Title,Category,Prompt,When to use,Source,Status,Contributed by,Date added
Tighten without losing meaning,4. Reviewing and improving work products,Tighten this without losing meaning. Cut anything that doesn't change the reader's decision. [Paste text],When a draft is right but too long or wordy.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Consistency check,4. Reviewing and improving work products,"Check this for consistency: are the numbers, terms, and claims the same throughout? Flag anything that contradicts itself or seems inconsistent with the rest. [Paste document]",Long documents where details can drift out of sync.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Re-aim for a different audience,4. Reviewing and improving work products,"Here's a draft written for [original audience]: [paste]. Rewrite it for [different audience - e.g. frontline team members / an executive] - same facts, right level of detail and tone for them.",Reusing content for a different reader.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Turn notes into a slide outline,"5. Creating presentations, reports, or business documents","I need to turn this into a slide outline: [paste raw content/notes]. Give me a title and one governing thought per slide, in the order that tells the clearest story - not just the order I gave you the information.",Starting a deck from messy raw material.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Turn bullets into clean paragraphs,"5. Creating presentations, reports, or business documents","Turn these bullet points into 3 tight paragraphs for a business document. Plain language, no jargon, active voice. [Paste bullets]",Converting rough bullets into finished prose.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Write an executive summary,"5. Creating presentations, reports, or business documents","Here's my full [report/analysis]: [paste or describe]. Write a half-page executive summary: what's the situation, what's the recommendation, what do you need from the reader.",Topping a long document with a summary leaders will read.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Find the so-what,"5. Creating presentations, reports, or business documents","Look at this slide/section: [paste]. What's the 'so what' - the one sentence a busy exec would actually remember? If it's not obvious, tell me what's missing.",When a slide has content but no clear point.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Summarize into takeaways and actions,"6. Summarizing meetings, documents, or research","Summarize the following into: (1) the 3 most important takeaways, (2) any decisions made, (3) action items with owners if mentioned. Keep it to half a page. [Paste notes, transcript, or document]",Turning long material into something usable in minutes.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Pre-read a long document,"6. Summarizing meetings, documents, or research","I'm about to read [a long document/report]. Give me a 5-bullet summary of what it covers so I know what to look for, then I'll ask follow-up questions.",Deciding what to focus on before you dive in.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Reconcile multiple documents,"6. Summarizing meetings, documents, or research","I have [2-3] documents/reports on the same topic: [paste or describe each]. Summarize where they agree, where they disagree, and what's still unclear across all of them.",Making sense of several sources on the same subject.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Find patterns to sanity-check,7. Analyzing data or identifying trends,"Here's a data set [paste table or describe it]. What are the 3 most interesting patterns, and what's one explanation for each that I should sanity-check before presenting it?",A first read on data before you build the story.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Explain surprising numbers,7. Analyzing data or identifying trends,"I have numbers that look [surprising/concerning/promising]: [paste them]. What are 3 possible explanations, ranked by how likely they are, and what would I need to check to tell them apart?",When the data does something you didn't expect.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Anticipate the question I'll get,7. Analyzing data or identifying trends,"I need to present this data [paste/describe] in a meeting tomorrow. What's the one question I'm most likely to get asked, and how should I answer it?",Prepping to present numbers you'll be challenged on.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Build an Excel formula,"8. Spreadsheets, formulas, and calculations","I need an Excel formula that does [describe what you want, e.g. 'flags any row where sales dropped more than 10% month over month']. Give me the formula, explain what each part does, and tell me what to double check.",When you know what you want but not the formula.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Prep messy data for a pivot,"8. Spreadsheets, formulas, and calculations",Here's a messy data table [paste or describe]. What's the cleanest way to organize this for a pivot table? What columns should I add or fix first?,Getting raw data ready to analyze.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Template a repetitive task,9. Automations or streamlining workflows,"I do this task manually every [day/week]: [describe the repetitive task]. Help me figure out which parts could be templated or automated, and draft a reusable template or checklist for it.",A recurring task you'd like to stop redoing from scratch.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Streamline a multi-step process,9. Automations or streamlining workflows,"Here's a multi-step process I follow: [describe the steps]. Where are the redundant or slow steps, and what's one change that would save the most time without adding risk?",Finding the waste in a process you own.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Review code in plain language,10. Writing or reviewing code,"Review this code for readability and obvious bugs, not just whether it runs: [paste code]. Explain any issue in plain language, not just 'fix this line.'",Checking code you or someone else wrote.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Write a script with test guidance,10. Writing or reviewing code,"I need a script/formula that does [describe the task]. Give me the code, explain what each part does, and tell me what to test before trusting it.",Getting a working script plus how to verify it.,Curated,Approved,AI Strategy & Governance team,2026-07-17
